URL,Size (MB),Error
https://indieyes-test.wixsite.com/my-site,1.65,
https://zhenhanmi.wixsite.com/mac-infinity-1,6.406,
https://marioamaya0.wixsite.com/cyth,6.675,
https://codyv449.wixsite.com/my-site-2,4.356,
https://massiveclothing1.wixsite.com/website-250,4.317,
https://shaunchoontan.wixsite.com/stagingsite,2.881,
https://gowix25.wixsite.com/golf,3.29,
https://caoscreationjp.wixsite.com/tokyo-ws,3.373,
https://aateocreative.wixsite.com/nuutajarvenlasi,4.901,
https://joyshin78.wixsite.com/wavenet-studio,5.302,
https://bobupwork777.wixsite.com/caqa-intelligence,1.332,
https://raneemdawood.wixsite.com/website-2,1.071,
https://robbiemaasberg.wixsite.com/my-site,11.843,
https://nanda944.wixsite.com/noblq-1,12.942,
https://1nnleaders.wixsite.com/innleadersv2,3.502,
https://kahu21.wixsite.com/sitekahu,2.446,
https://wizdomed.wixsite.com/scholar,1.147,
https://admin219404.wixsite.com/sports,1.117,
https://prometteur.wixsite.com/kodedice,3.305,
https://ariffsaiyed4u.wixsite.com/my-site-13,0.558,
https://kathie462.wixsite.com/website,0.905,
https://digipulseagency.wixsite.com/my-site-24,1.299,
https://thiagoribfernandes.wixsite.com/my-site-6,3.363,
https://dispatch654.wixsite.com/mysite,5.569,
https://superchefadmin.wixsite.com/website-75,,"Failed to fetch site models: 404 Not Found"
https://arsenalbg.wixsite.com/microtechusa,9.509,
https://andreloir906.wixsite.com/testando,8.105,
https://migdalplatform.wixsite.com/website-9,,"Failed to fetch site models: 403 Forbidden"
https://myamazingstory.wixsite.com/myamazingstory,4.949,
https://marketingkr.wixsite.com/website,3.009,
https://dfwrcc.wixsite.com/my-site,6.296,
https://mtechnosoft.wixsite.com/kailash,3.718,
https://rotaridenis.wixsite.com/zeromilecatering,0.594,
https://naoyonyc.wixsite.com/my-site-3,0.777,
https://digitalmadriver.wixsite.com/my-site-5,4.003,
https://askatec.wixsite.com/my-site-1,1.322,
https://zacbikhazi1.wixsite.com/gymcourses,2.398,
https://iviewlabspvtltd.wixsite.com/globalcrisisresponse,1.729,
https://iamanartist09.wixsite.com/india,3.069,
https://liviasoler1.wixsite.com/website-3,0.445,
https://loriscuratedcompas.wixsite.com/loris-created-compa,1.407,
https://tiffany845.wixsite.com/nextpitchk12,2.469,
https://modupeoreabdullahi.wixsite.com/my-site-2,1.262,
https://armadaelk.wixsite.com/my-site,5.019,
https://kobayashishinzo.wixsite.com/mysite-3,0.515,
https://b04552.wixsite.com/central-health,2.442,
https://jkfoodswt.wixsite.com/my-site,6.119,
https://jktrade00.wixsite.com/-jktrade,1.818,
https://hotstuffbulldogs.wixsite.com/hsfg,1.878,
https://dennislaird1.wixsite.com/my-site,1.727,
https://circinonow.wixsite.com/scnow,7.425,
https://deepexcavation.wixsite.com/deep-excavations,3.583,
https://breathlessdestin.wixsite.com/my-site-13,3.964,
https://jesusrangel3.wixsite.com/my-site-1,3.725,
https://hotelsaas.wixsite.com/hotelsaas,3.287,
https://cedricfloyd090.wixsite.com/salusswift,3.128,
https://migdalplatform.wixsite.com/migdal-1-0-0,5.988,
https://digikentro.wixsite.com/lived365new,5.563,
https://miniboxgolf.wixsite.com/my-site,3.002,
https://admin111960.wixsite.com/361degrees,1.676,
https://bhm661.wixsite.com/n25-mainframe,3.327,
https://preswerx.wixsite.com/preswerx,5.075,
https://newarkhc.wixsite.com/mysite-3,0.385,
https://aleccohen979.wixsite.com/weightlift-guru-2,1.903,
https://sandboxsites.wixsite.com/marn,0.466,
https://roblynnraleigh.wixsite.com/ecmedspa,2.648,
https://pollyyang89.wixsite.com/itspollyyang,1.293,
https://stagingppln.wixsite.com/pipeline,2.245,
https://deepexcavation.wixsite.com/deepex-new,3.438,
https://fortunefrizell.wixsite.com/website-17,1.936,
https://karpostudio.wixsite.com/mysite,4.122,
https://bugingeric1.wixsite.com/my-site-19,6.21,
https://leinweberjim.wixsite.com/my-site-6,6.579,
https://jigsawkraft.wixsite.com/my-site-6,1.329,
https://belinda4639.wixsite.com/manestory-studio,2.372,
https://lukerz4.wixsite.com/website,5.073,
https://xavierredo.wixsite.com/my-site-1,,"Failed to fetch site models: 404 Not Found"
https://infowildkratt.wixsite.com/americanhistorytours,1.459,
https://gina05390.wixsite.com/lumina,0.812,
https://crimswork.wixsite.com/portfolio,0.326,
https://itadmin9398.wixsite.com/my-site-4,12.615,
https://kim09994.wixsite.com/first-step,1.018,
https://yash52.wixsite.com/my-site-10,3.807,
https://croo205.wixsite.com/my-site-1,0.639,
https://v-techvision.wixsite.com/my-site-7,0.486,
https://camrin15.wixsite.com/redalertit,3.069,
https://contact5380780.wixsite.com/idealpiscine1,3.088,
https://vweber2022.wixsite.com/ofs2,1.216,
https://sharonrenji89.wixsite.com/clickmehappy,1.269,
https://wixfreaks.wixsite.com/endurance-lab,1.039,
https://chevellii.wixsite.com/my-site-71,0.855,
https://avilamedia.wixsite.com/umei,6.904,
https://dev2455.wixsite.com/meetleo,5.884,
https://labelleinvitaciones.wixsite.com/la-belle-ahora-s,2.315,
https://mbmcpreview.wixsite.com/website-44,5.967,
https://miniboxgolf.wixsite.com/my-site-1,0.886,
https://info0949039.wixsite.com/rb-staging,1.753,
https://globalfreestyle.wixsite.com/my-site,0.894,
https://vegapromoteweb.wixsite.com/acpl-studio,3.395,
https://swagencysuisse.wixsite.com/hype-suisse,4.603,
https://iamveloexpert.wixsite.com/my-site-4,2.275,
https://info651803.wixsite.com/my-site-2-1,2.188,
https://nadtth.wixsite.com/nadt,10.822,
https://sai626.wixsite.com/home,3.536,
https://six-studio.wixsite.com/banana,1.735,
https://benefitsrealstate.wixsite.com/my-site,1.639,
https://frida953.wixsite.com/pigello-figma,2.705,
https://pdvsmartmobi.wixsite.com/pdvx,1.669,
https://andy73566.wixsite.com/website-13,5.551,
https://zevenstone7.wixsite.com/my-site,0.279,
https://nxdent.wixsite.com/website-1,1.411,
https://khaleefah.wixsite.com/openai,1.288,
https://cliccreativeuk.wixsite.com/my-site-2,,"Failed to fetch site models: 404 Not Found"
https://jezeleiwork.wixsite.com/altercop29,2.273,
https://laurashoots.wixsite.com/home,3.895,
https://racedayguides.wixsite.com/nomari,3.954,
https://marketing12871.wixsite.com/revouco,10.999,
https://aellahardware.wixsite.com/my-site-1-1,4.016,
https://issos7.wixsite.com/issos-1,2.411,
https://jasonhu0508.wixsite.com/maxwell,1.621,
https://porquebrilloartesa.wixsite.com/tienda-online-de-art,1.974,
https://marketing44960.wixsite.com/mysite,2.066,
https://wix-digtec.wixsite.com/my-site,9.453,
https://jungotv.wixsite.com/my-site-12,2.094,
https://marketing10945.wixsite.com/bushwise-guide,11.514,
https://advisortechpartners.wixsite.com/my-site-8,0.771,
